id,setting_group,key,settings_name,setting_value,setting_default_value,setting_access_group,setting_description,modal_type,created_at,updated_at
80,school_profile,postal_code,Kode Pos,55652,55652,public,Kode Pos,input,2021-03-24 6:57:46,2021-06-16 14:55:48
81,school_profile,street_address,Nama Jalan,Kedungtangkil RT 63 RW 28,Kedungtangkil RT 63 RW 28,public,Alamat Jalan,input,2021-03-24 6:57:46,2021-06-16 20:41:43
82,school_profile,phone,Telp,83130500748,83130500748,public,Telepon,input,2021-03-24 6:57:46,2021-06-16 14:55:43
83,school_profile,fax,Fax,-,83130500748,public,Fax,input,2021-03-24 6:57:46,2021-06-16 14:54:48
84,school_profile,email,Email,jimbling05@gmail.com,jimbling05@gmail.com,public,Email,input,2021-03-24 6:57:46,2024-07-28 5:50:02
85,school_profile,website,Website,https://jimbling.my.id/,https://jimbling.my.id/,public,Website,input,2021-03-24 6:57:46,2024-07-27 6:29:26
86,school_profile,logo,Logo,1722131492_66a5a4245d23b.png,logo.png,public,Logo,upload,2021-03-24 6:57:46,2024-07-28 8:51:32
87,admission,admission_status,NULL,open,open,public,Status Penerimaan Peserta Didik Baru,select,2021-03-24 6:57:46,2022-06-01 21:04:33
88,admission,admission_year,NULL,2023,2021,public,Tahun Penerimaan Peserta Didik Baru,input,2021-03-24 6:57:46,2023-08-29 14:18:54
89,admission,admission_start_date,NULL,2023-08-22,2021-01-01,public,Tanggal Mulai PPDB,date,2021-03-24 6:57:46,2023-08-29 14:18:42
90,admission,admission_end_date,NULL,2023-08-31,2021-12-31,public,Tanggal Selesai PPDB,date,2021-03-24 6:57:46,2023-08-29 14:18:32
91,admission,announcement_start_date,NULL,2022-06-17,2021-01-01,public,Tanggal Mulai Pengumuman Hasil Seleksi PPDB,date,2021-03-24 6:57:46,2022-06-01 21:04:22
92,admission,announcement_end_date,NULL,2022-06-17,2021-12-31,public,Tanggal Selesai Pengumuman Hasil Seleksi PPDB,date,2021-03-24 6:57:46,2022-06-01 21:04:28
94,general,nav_image,Gambar Navbar,1721208274_66978dd2e0425.svg,ss.jpg,public,Gambar pada menu Navigasi,upload,2024-07-16 19:36:44,2024-07-17 16:24:35
96,general,preloader,preloader,0,1,public,Gunakan Preloader ?,select,2024-07-25 11:23:06,2024-07-27 11:58:40
